gene,obs,exp,obs - exp
ARHGEF11,1,0.047507788161934905,0.9524922118380651
COL19A1,1,0.04795737122561568,0.9520426287743843
PEAR1,1,0.04820031298906874,0.9517996870109313
EPHA2,1,0.04825174825211709,0.9517482517478829
PIK3CB,1,0.04859123205527286,0.9514087679447272
OR6B2,1,0.04883929186458241,0.9511607081354176
EGFLAM,1,0.04884161623658844,0.9511583837634116
ATG4C,1,0.04886437763071481,0.9511356223692852
C1RL,1,0.048866151761501705,0.9511338482384983
TRPM8,1,0.049090233940118314,0.9509097660598816
FNIP2,1,0.049106904825958704,0.9508930951740413
GRB10,1,0.049167927382638206,0.9508320726173618
PCDHB16,1,0.04956369982519549,0.9504363001748045
ARHGEF1,1,0.04973108376987344,0.9502689162301265
DUSP1,1,0.050468419462118705,0.9495315805378813
ISLR,1,0.050791556728240275,0.9492084432717597
ALG6,1,0.05086667746657256,0.9491333225334274
FAIM2,1,0.05089901311385249,0.9491009868861475
ZNF324B,1,0.051246537396384594,0.9487534626036154
BAIAP2L1,1,0.051508844953058824,0.9484911550469411
TSPYL5,1,0.051635111879266664,0.9483648881207334
C15orf60,1,0.052002985817561895,0.9479970141824381
GLRA1,1,0.0523444160273054,0.9476555839726946
SLC37A2,1,0.052770448548892644,0.9472295514511073
SLC24A3,1,0.053095219027630404,0.9469047809723696
PRKCG,1,0.0531034482757977,0.9468965517242023
MCHR2,1,0.05494505494506048,0.9450549450549395
SLC7A7,1,0.055652173913022726,0.9443478260869773
RPL6,1,0.05565529622982707,0.9443447037701729
PTPN14,1,0.05584460631281213,0.9441553936871878
CORIN,1,0.05603985056048421,0.9439601494395158
CRISPLD1,1,0.0566772425724688,0.9433227574275312
TMEM231,1,0.05699745547147522,0.9430025445285248
DCAF8,1,0.05776850886475826,0.9422314911352417
POSTN,1,0.05804111245472518,0.9419588875452748
SERPINB4,1,0.058193668528621754,0.9418063314713783
CSTF2T,1,0.05829001613171123,0.9417099838682887
DDX53,1,0.05847953216372362,0.9415204678362764
ZNF133,1,0.058507462684483445,0.9414925373155165
STRN,1,0.05877137428276222,0.9412286257172378
SLFNL1,1,0.05877862595420774,0.9412213740457922
ACTL7A,1,0.05917726192694666,0.9408227380730534
DHX34,1,0.05926946933150029,0.9407305306684997
MGAT4C,1,0.05968839148528588,0.9403116085147141
SLC17A3,1,0.059695368992831496,0.9403046310071685
N4BP1,1,0.05977286312147673,0.9402271368785233
ASTL,1,0.060872356572695324,0.9391276434273047
NMNAT2,1,0.06107954545453247,0.9389204545454676
RPS6KA6,1,0.06113070428607679,0.9388692957139232
KIAA0892,1,0.061153174141044764,0.9388468258589553
ABCG4,1,0.06180624011757919,0.9381937598824208
TMEM55A,1,0.06309148264992585,0.9369085173500742
ZBTB7B,1,0.06354886475785944,0.9364511352421405
FAM70B,1,0.06360342302163052,0.9363965769783695
STEAP1,1,0.06386109476189417,0.9361389052381058
MIER3,1,0.06394457379593052,0.9360554262040695
PCDHB3,1,0.06445607911663351,0.9355439208833665
DMRT3,1,0.06566613737772128,0.9343338626222787
RBM41,1,0.06570318965877718,0.9342968103412228
CAMK1G,1,0.06627812696235963,0.9337218730376404
ATRNL1,1,0.0669902912621928,0.9330097087378072
RNASEN,1,0.06705990629151214,0.9329400937084878
CLDN18,1,0.0673221427180898,0.9326778572819102
NID2,1,0.0674915635548365,0.9325084364451635
NRK,1,0.06783984780231894,0.932160152197681
HSPB7,1,0.0687747155422348,0.9312252844577652
OR5AS1,1,0.06912910877682486,0.9308708912231751
C5orf25,1,0.06922126081586498,0.930778739184135
BAAT,1,0.0696969696969694,0.9303030303030306
MYH15,1,0.07007840189039055,0.9299215981096094
EPB41L5,1,0.07030129124818613,0.9296987087518138
OR51S1,1,0.070351758793965,0.929648241206035
AGXT2,1,0.07039508581812705,0.929604914181873
ARSF,1,0.07089151450052267,0.9291084854994773
PLCZ1,1,0.07091808686014345,0.9290819131398566
TGFBI,1,0.07104846828707101,0.928951531712929
CYBRD1,1,0.07121925548981375,0.9287807445101862
PCDHB1,1,0.07123888696540129,0.9287611130345987
WSCD1,1,0.0712414876897768,0.9287585123102232
SH2B3,1,0.0713839912622239,0.928616008737776
BUB1,1,0.0724853366022466,0.9275146633977533
TCEB3B,1,0.0725146198831849,0.9274853801168151
SPACA1,1,0.07273703382581442,0.9272629661741856
CHST6,1,0.07365193627946952,0.9263480637205305
BBS12,1,0.07371584186300027,0.9262841581369997
DLD,1,0.07384038199215509,0.9261596180078449
FZD1,1,0.07428791378007377,0.9257120862199262
CLCN1,1,0.07482014388492152,0.9251798561150785
LILRB2,1,0.07492507492509248,0.9250749250749075
HPS5,1,0.07543828581600844,0.9245617141839916
AMOT,1,0.0770237637273232,0.9229762362726768
RPS3A,1,0.07718120805376934,0.9228187919462306
GDPD5,1,0.0774147727272959,0.9225852272727041
CACNG2,1,0.07769066286474097,0.9223093371352591
ACPL2,1,0.07773240119190006,0.9222675988080999
ATP1B4,1,0.0779247202441061,0.9220752797558939
OR51A7,1,0.0781324440197948,0.9218675559802052
NUP93,1,0.07822240943690782,0.9217775905630922
TUSC3,1,0.07884615384617234,0.9211538461538277
MFSD6,1,0.07891196502132687,0.9210880349786731
DDX41,1,0.07896563239720686,0.9210343676027931
COL9A1,1,0.07943560960455243,0.9205643903954476
KIAA0831,1,0.07948442534908061,0.9205155746509194
RASSF9,1,0.0797291196403186,0.9202708803596814
GPR128,1,0.07999999999995196,0.920000000000048
PLOD1,1,0.08031400966170871,0.9196859903382912
IFI44,1,0.08084057772704417,0.9191594222729558
HSD17B1,1,0.08085912823784189,0.9191408717621581
OR2M2,1,0.08121827411168042,0.9187817258883195
UBP1,1,0.08133220767525023,0.9186677923247497
ZNF548,1,0.08157536611663556,0.9184246338833645
ABCG8,1,0.08188061278322467,0.9181193872167753
PLEKHG2,1,0.08270387914642598,0.917296120853574
ABCC3,1,0.08291158082794226,0.9170884191720577
NLRC4,1,0.08329420775173921,0.9167057922482608
SMARCA2,1,0.08342348061432817,0.9165765193856719
CRB1,1,0.0838235294116964,0.9161764705883035
TRPM4,1,0.08499987966785641,0.9150001203321436
OR5K3,1,0.08524061032927155,0.9147593896707285
PYGO2,1,0.08629880420548074,0.9137011957945192
KSR2,1,0.08653846153850803,0.9134615384614919
PTPRG,1,0.08674278465148963,0.9132572153485103
XKR4,1,0.08690215692275728,0.9130978430772427
CNOT6,1,0.08719451083259655,0.9128054891674034
PCDHB11,1,0.08740995591964033,0.9125900440803597
MYLK2,1,0.08833116065970706,0.911668839340293
EFTUD1,1,0.08835098335800183,0.9116490166419982
EZH2,1,0.08840409320373935,0.9115959067962607
THOC5,1,0.08854970559730663,0.9114502944026934
NCKAP5,1,0.08856814826822824,0.9114318517317718
KIDINS220,1,0.0886654478953868,0.9113345521046132
MTMR8,2,1.0889569673893642,0.9110430326106358
OR2AG1,1,0.08902275941670805,0.910977240583292
