gene,pi,ll,llr,mut_count,mut_freq,mut_frac
C10orf118,6.661338147750939e-16,-0.7139675894069216,-2.0206059048177852e-13,1,1,1.0
EPHA8,6.661338147750939e-16,-0.7058862063371281,-2.0206059048177852e-13,1,1,1.0
PARP14,6.661338147750939e-16,-0.7136711765380015,-2.0206059048177852e-13,1,1,1.0
CASC5,6.661338147750939e-16,-0.7281513188209929,-2.0206059048177852e-13,1,1,1.0
SBF2,6.661338147750939e-16,-0.6980854622007528,-2.0206059048177852e-13,1,1,1.0
WNK1,6.661338147750939e-16,-0.707036292697113,-2.0206059048177852e-13,1,1,1.0
SLC12A1,6.661338147750939e-16,-0.7170527014136077,-2.0206059048177852e-13,1,1,1.0
NLRP8,4.440892098500626e-16,-0.6579725542434165,-2.0250467969162853e-13,1,1,1.0
CFHR2,4.440892098500626e-16,-0.6513000706250852,-2.0250467969162853e-13,1,1,1.0
NF1,6.661338147750939e-16,-1.388782813493764,-2.0250467969162853e-13,1,1,1.0
SAGE1,4.440892098500626e-16,-0.654757291008541,-2.0250467969162853e-13,1,1,1.0
DYNC1H1,4.440892098500626e-16,-0.6900172875517558,-2.0250467969162853e-13,1,1,1.0
ALMS1,4.440892098500626e-16,-0.6667008316509158,-2.0250467969162853e-13,1,1,1.0
MYCBP2,4.440892098500626e-16,-0.65293012059543,-2.0250467969162853e-13,1,1,1.0
CSMD1,4.440892098500626e-16,-6.9354454901768925,-2.042810365310288e-13,2,2,1.0
ASB15,6.661338147750939e-16,-0.8247235383492858,-2.418065747633591e-13,1,1,1.0
CR1,6.661338147750939e-16,-0.8279642470698791,-2.418065747633591e-13,1,1,1.0
KRTAP24-1,6.661338147750939e-16,-0.8302267732402769,-2.418065747633591e-13,1,1,1.0
BBS7,6.661338147750939e-16,-0.8112598684356515,-2.418065747633591e-13,1,1,1.0
HERC1,6.661338147750939e-16,-0.8177277426585835,-2.418065747633591e-13,1,1,1.0
PCLO,6.661338147750939e-16,-0.8023464725250806,-2.418065747633591e-13,1,1,1.0
AFF4,6.661338147750939e-16,-0.8181067982515133,-2.4202861936828413e-13,1,1,1.0
C3,6.661338147750939e-16,-0.8174962279869151,-2.4202861936828413e-13,1,1,1.0
UBN2,6.661338147750939e-16,-0.8128964336702967,-2.4202861936828413e-13,1,1,1.0
XIRP2,6.661338147750939e-16,-0.8270490579017252,-2.4202861936828413e-13,1,1,1.0
SPEN,6.661338147750939e-16,-1.565528771541843,-2.4202861936828413e-13,2,2,1.0
P2RY2,6.661338147750939e-16,-0.8127279695146473,-2.4202861936828413e-13,1,1,1.0
LAMA3,6.661338147750939e-16,-0.8418069906403008,-2.4202861936828413e-13,1,1,1.0
WSCD2,6.661338147750939e-16,-0.7884573603634027,-2.422506639732092e-13,1,1,1.0
ANKRD26,6.661338147750939e-16,-0.7876936203503039,-2.422506639732092e-13,1,1,1.0
BOD1L,6.661338147750939e-16,-0.7652859026603741,-2.424727085781342e-13,1,1,1.0
ZNF518B,6.661338147750939e-16,-1.5099729959272357,-2.424727085781342e-13,1,1,1.0
CACNA2D3,6.661338147750939e-16,-1.5230107762728344,-2.424727085781342e-13,1,1,1.0
NOTCH1,6.661338147750939e-16,-0.7746680851033793,-2.424727085781342e-13,1,1,1.0
DOCK9,6.661338147750939e-16,-0.7523900141237694,-2.424727085781342e-13,1,1,1.0
NAV1,6.661338147750939e-16,-1.1895785855573495,-2.424727085781342e-13,1,1,1.0
CCDC67,6.661338147750939e-16,-3.705458897883697,-2.460254222569347e-13,1,1,1.0
CUL3,7.771561172376097e-16,-0.9128148854908024,-2.8199664825478976e-13,1,1,1.0
PRDM9,7.771561172376097e-16,-0.9157500451903208,-2.8199664825478976e-13,1,1,1.0
EFCAB6,7.771561172376097e-16,-0.9119935120253606,-2.8199664825478976e-13,1,1,1.0
HNRNPUL1,7.771561172376097e-16,-0.9193348742575428,-2.8199664825478976e-13,1,1,1.0
DOCK5,7.771561172376097e-16,-0.9040206392830036,-2.8199664825478976e-13,1,1,1.0
PKHD1,7.771561172376097e-16,-0.9060967102269888,-2.8199664825478976e-13,1,1,1.0
VPS13C,7.771561172376097e-16,-0.8597012791070987,-2.822186928597148e-13,1,1,1.0
NAPA,7.771561172376097e-16,-0.911836381525556,-2.822186928597148e-13,1,1,1.0
DMD,7.771561172376097e-16,-0.8735730021893734,-2.822186928597148e-13,1,1,1.0
SYNE1,7.771561172376097e-16,-0.9039702474894104,-2.822186928597148e-13,1,1,1.0
GPR6,7.771561172376097e-16,-0.8746593483986365,-2.822186928597148e-13,1,1,1.0
MPL,7.771561172376097e-16,-0.8486805083740866,-2.822186928597148e-13,1,1,1.0
ZFHX4,7.771561172376097e-16,-0.9127917947627384,-2.822186928597148e-13,1,1,1.0
SLC7A13,7.771561172376097e-16,-0.8556661100578609,-2.822186928597148e-13,1,1,1.0
ATP6AP2,7.771561172376097e-16,-0.8811994120630242,-2.824407374646398e-13,1,1,1.0
MUC17,7.771561172376097e-16,-0.8661177398463726,-2.824407374646398e-13,1,1,1.0
B3GALT5,7.771561172376097e-16,-0.8434293836103799,-2.826627820695649e-13,1,1,1.0
RYR1,7.771561172376097e-16,-4.52364991873597,-2.842170943040401e-13,1,1,1.0
PHF6,7.771561172376097e-16,-3.406193043063612,-2.8688162956314045e-13,2,2,1.0
PLRG1,8.881784197001252e-16,-1.00144854021453,-3.2152058793144533e-13,1,1,1.0
ADNP,8.881784197001252e-16,-2.256458190284481,-3.2152058793144533e-13,1,1,1.0
HSPG2,8.881784197001252e-16,-1.0029352373532463,-3.2152058793144533e-13,1,1,1.0
PPP2R2B,8.881784197001252e-16,-0.9994056385848344,-3.217426325363704e-13,1,1,1.0
THRB,8.881784197001252e-16,-0.9954280524330434,-3.217426325363704e-13,1,1,1.0
GPR101,8.881784197001252e-16,-0.9684287398134094,-3.219646771412954e-13,1,1,1.0
C10orf120,8.881784197001252e-16,-0.9467904595208296,-3.219646771412954e-13,1,1,1.0
GCN1L1,8.881784197001252e-16,-0.9545729184457532,-3.221867217462205e-13,1,1,1.0
COL11A2,8.881784197001252e-16,-0.979246523438794,-3.221867217462205e-13,1,1,1.0
FANCI,8.881784197001252e-16,-0.9795843332105298,-3.221867217462205e-13,1,1,1.0
LARS,8.881784197001252e-16,-0.9725672302594623,-3.221867217462205e-13,1,1,1.0
SDK2,8.881784197001252e-16,-0.9534807350575438,-3.221867217462205e-13,1,1,1.0
FANCM,8.881784197001252e-16,-0.9767224710594083,-3.221867217462205e-13,1,1,1.0
TRO,8.881784197001252e-16,-0.9720842299613442,-3.221867217462205e-13,1,1,1.0
SNED1,8.881784197001252e-16,-0.9479995569783362,-3.221867217462205e-13,1,1,1.0
SREBF2,8.881784197001252e-16,-0.9640029612602824,-3.221867217462205e-13,1,1,1.0
GPR112,8.881784197001252e-16,-1.182872333112916,-3.2240876635114546e-13,2,2,1.0
ZNF229,8.881784197001252e-16,-0.939559358812564,-3.2240876635114546e-13,1,1,1.0
KCNH8,8.881784197001252e-16,-0.932319570158304,-3.2240876635114546e-13,1,1,1.0
NOS1,8.881784197001252e-16,-0.9343092373771263,-3.2240876635114546e-13,1,1,1.0
PPP1R3A,8.881784197001252e-16,-1.1170051257178577,-3.2240876635114546e-13,2,2,1.0
FLG,8.881784197001252e-16,-1.1362529413483364,-3.2240876635114546e-13,2,2,1.0
KLHDC7A,8.881784197001252e-16,-0.9407092592220372,-3.226308109560705e-13,1,1,1.0
MTMR8,1.1102230246251563e-15,-1.279074550600066,-3.6148861681795097e-13,2,2,1.0
ANKRD12,8.881784197001252e-16,-1.0312944594408686,-3.628208844475012e-13,1,1,1.0
CCL21,1.1102230246251563e-15,-1.0740711797520357,-3.628208844475012e-13,1,1,1.0
MICAL2,1.1102230246251563e-15,-1.0675243318621142,-3.632649736573512e-13,1,1,1.0
TJAP1,8.881784197001252e-16,-1.0372433422891845,-3.632649736573512e-13,1,1,1.0
VPS13D,1.1102230246251563e-15,-1.074004287868047,-3.6370906286720133e-13,1,1,1.0
JMJD1C,8.881784197001252e-16,-1.0433997793154048,-3.6370906286720133e-13,1,1,1.0
PLXNA4,8.881784197001252e-16,-1.0119338565802538,-3.6370906286720133e-13,1,1,1.0
CELSR1,8.881784197001252e-16,-1.0116009117047728,-3.641531520770514e-13,1,1,1.0
KIAA1683,8.881784197001252e-16,-2.8086625183804603,-3.641531520770514e-13,1,1,1.0
LRWD1,8.881784197001252e-16,-1.028748968845503,-3.645972412869014e-13,1,1,1.0
DSCAM,8.881784197001252e-16,-1.024241745948712,-3.645972412869014e-13,1,1,1.0
NOX3,8.881784197001252e-16,-1.020000401099606,-3.6504133049675147e-13,1,1,1.0
YEATS2,8.881784197001252e-16,-1.0399895313241363,-3.6504133049675147e-13,1,1,1.0
PXDNL,8.881784197001252e-16,-1.0150913166186917,-3.6504133049675147e-13,1,1,1.0
BMP10,8.881784197001252e-16,-1.0455418537041632,-3.6548541970660153e-13,1,1,1.0
SPHKAP,8.881784197001252e-16,-1.0277043192451865,-3.6548541970660153e-13,1,1,1.0
SLC24A4,8.881784197001252e-16,-1.0185096271599845,-3.659295089164516e-13,1,1,1.0
ATP13A5,1.1102230246251563e-15,-1.1244917366786655,-4.014566457044566e-13,1,1,1.0
FAT2,1.2212453270876722e-15,-1.132097560003077,-4.014566457044566e-13,1,1,1.0
USP11,1.1102230246251563e-15,-1.1127145547290829,-4.0190073491430667e-13,1,1,1.0
STXBP5L,1.1102230246251563e-15,-1.0986122886682514,-4.0190073491430667e-13,1,1,1.0
MUC5B,1.1102230246251563e-15,-1.532053091097824,-4.0190073491430667e-13,3,2,0.6666666666666666
ZBTB33,1.1102230246251563e-15,-1.3555751614696607,-4.0190073491430667e-13,2,2,1.0
PCDH11X,1.1102230246251563e-15,-1.0868845944862378,-4.0190073491430667e-13,1,1,1.0
RNF213,1.2212453270876722e-15,-1.376459268071104,-4.0190073491430667e-13,2,2,1.0
ZNF638,1.1102230246251563e-15,-1.090067054021548,-4.0234482412415673e-13,1,1,1.0
ITPR1,1.1102230246251563e-15,-1.0754381834633215,-4.0234482412415673e-13,1,1,1.0
CLCN6,1.1102230246251563e-15,-1.098612288660862,-4.0234482412415673e-13,1,1,1.0
FBN1,1.1102230246251563e-15,-1.0870067425482568,-4.0234482412415673e-13,1,1,1.0
MED12,1.1102230246251563e-15,-1.341197648800263,-4.0234482412415673e-13,1,1,1.0
TRIM24,1.1102230246251563e-15,-1.1121260078350326,-4.0234482412415673e-13,1,1,1.0
HMCN1,1.1102230246251563e-15,-2.8941381039623804,-4.0589753780295723e-13,1,1,1.0
CHD4,1.2212453270876722e-15,-1.537569189530807,-4.414246745909623e-13,2,2,1.0
CMYA5,1.2212453270876722e-15,-1.4868008055639104,-4.418687638008123e-13,2,2,1.0
ATP2C1,1.2212453270876722e-15,-1.1786549963418675,-4.423128530106624e-13,1,1,1.0
PI4KA,1.2212453270876722e-15,-1.1824520211960077,-4.4275694222051243e-13,1,1,1.0
WIPF1,1.2212453270876722e-15,-1.1421853165595564,-4.4320103143036254e-13,1,1,1.0
TMEM47,1.2212453270876722e-15,-1.199964782929262,-4.4320103143036254e-13,1,1,1.0
SUDS3,1.2212453270876722e-15,-1.1421553733018703,-4.4453329905991273e-13,1,1,1.0
ODZ2,1.2212453270876722e-15,-1.84096804368914,-4.4453329905991273e-13,1,1,1.0
ZFC3H1,1.2212453270876722e-15,-1.1874098803020794,-4.4497738826976274e-13,1,1,1.0
MAGI3,1.2212453270876722e-15,-1.1426080494022657,-4.454214774796128e-13,1,1,1.0
LPPR4,1.2212453270876722e-15,-1.158510430249403,-4.458655666894629e-13,1,1,1.0
CLPX,1.4432899320127037e-15,-1.2527629684939388,-4.805045250577679e-13,1,1,1.0
TACC2,1.4432899320127037e-15,-1.263599919825778,-4.805045250577679e-13,1,1,1.0
DCT,1.4432899320127037e-15,-1.2467928015091134,-4.809486142676178e-13,1,1,1.0
DST,1.2212453270876722e-15,-1.5841715536698888,-4.809486142676178e-13,2,2,1.0
KCNQ3,1.4432899320127037e-15,-1.229116986125759,-4.809486142676178e-13,1,1,1.0
SACS,1.2212453270876722e-15,-1.2207542812887044,-4.809486142676178e-13,1,1,1.0
COL7A1,1.2212453270876722e-15,-1.2270128751408853,-4.809486142676178e-13,1,1,1.0
CIC,1.2212453270876722e-15,-1.246581437151021,-4.813927034774679e-13,1,1,1.0
BSN,1.2212453270876722e-15,-1.5884642212297555,-4.813927034774679e-13,2,2,1.0
ABL1,1.2212453270876722e-15,-1.2224065060152176,-4.813927034774679e-13,1,1,1.0
SLC18A1,1.2212453270876722e-15,-1.2253639943074832,-4.813927034774679e-13,1,1,1.0
ZFHX3,1.2212453270876722e-15,-1.220652493524781,-4.813927034774679e-13,1,1,1.0
CACNA1E,1.5543122344752194e-15,-1.928030658915337,-5.213607323639735e-13,3,3,1.0
SHANK1,1.4432899320127037e-15,-1.267934590918491,-5.213607323639735e-13,1,1,1.0
MGAM,1.5543122344752194e-15,-1.319793130814366,-5.213607323639735e-13,1,1,1.0
CACNA2D4,1.5543122344752194e-15,-1.31581119108913,-5.218048215738236e-13,1,1,1.0
FNDC1,1.4432899320127037e-15,-1.3051887658359982,-5.218048215738236e-13,1,1,1.0
PAX3,1.4432899320127037e-15,-1.298354909818533,-5.218048215738236e-13,1,1,1.0
HEATR7B2,1.4432899320127037e-15,-1.289624236713541,-5.222489107836736e-13,1,1,1.0
AFF2,1.4432899320127037e-15,-1.2857234543446676,-5.222489107836736e-13,1,1,1.0
CNTN6,1.4432899320127037e-15,-1.5792162830914886,-5.222489107836736e-13,1,1,1.0
GUCY2C,1.4432899320127037e-15,-1.292902642803062,-5.222489107836736e-13,1,1,1.0
DNAH10,1.5543122344752194e-15,-1.3108253301527724,-5.226929999935237e-13,1,1,1.0
HSPA13,1.5543122344752194e-15,-1.295298915121328,-5.226929999935237e-13,1,1,1.0
MYO5B,1.4432899320127037e-15,-1.285976748906512,-5.231370892033739e-13,1,1,1.0
C10orf18,1.4432899320127037e-15,-1.275068726010011,-5.231370892033739e-13,1,1,1.0
NIPBL,1.4432899320127037e-15,-1.2818501838340013,-5.231370892033739e-13,1,1,1.0
SYT17,1.4432899320127037e-15,-1.268787347442674,-5.235811784132238e-13,1,1,1.0
C11orf41,1.5543122344752194e-15,-1.2935095737923694,-5.235811784132238e-13,1,1,1.0
NBEAL1,1.4432899320127037e-15,-1.280821869630279,-5.240252676230739e-13,1,1,1.0
MYB,1.5543122344752194e-15,-1.3018456800257705,-5.24469356832924e-13,1,1,1.0
ARID1A,1.4432899320127037e-15,-1.279913957562975,-5.24913446042774e-13,1,1,1.0
WNK3,1.4432899320127037e-15,-1.2778426528925944,-5.24913446042774e-13,1,1,1.0
ATP2B3,1.5543122344752194e-15,-1.360492643129244,-5.595524044110789e-13,1,1,1.0
GNB1,1.5543122344752194e-15,-1.3609765531385236,-5.595524044110789e-13,1,1,1.0
